,,,,,,,,,,,,MaxLv_preAdjust,,,MaxLv120minConversion,
STATE,DATE,TIME,JDM CODE,PANEL-ID,SERIAL,LINE,POWER ON TIME(min),ETI(h),Integlated AgingTime(min),InternalTemp,Calc EnvTemp,u',v',Lv,u',v',Lv
OK,20201020,140029,NX,YDAS011DNS0101,20807,S3,3,0,3,230,227.777153166741,0.191411084264318,0.446813884375447,589.7,0.192936682746304,0.440638374107501,504.323856221461
OK,20201020,140134,NX,YDAS011DNS0101,20808,S3,3,0,3,230,227.777153166741,0.194044078706156,0.44517863690064,607.1,0.195569677188141,0.439003126632694,519.204702581056
OK,20201020,140240,NX,YDAS011DNS0101,20809,S3,3,0,3,230,227.777153166741,0.194043598403439,0.449070193927424,601.3,0.195569196885424,0.442894683659478,514.244420461191
OK,20201020,140351,NX,YDAS011DNS0101,20810,S3,3,0,3,230,227.777153166741,0.191705675200955,0.449793636922118,577.6,0.193231273682941,0.443618126654172,493.975681454156
OK,20201020,140506,NX,YDAS011DNS0101,20811,S3,3,0,3,230,227.777153166741,0.193814848393271,0.446887277122998,591.5,0.195340446875257,0.440711766855052,505.863254120729
OK,20201020,140611,NX,YDAS011DNS0101,20812,S3,3,0,3,230,227.777153166741,0.191961006877212,0.451367096214195,600.9,0.193486605359197,0.445191585946249,513.902332039131
OK,20201020,140809,NX,YDAS011DNS0101,20813,S3,4,0,4,230,226.136149278459,0.191249314374921,0.448993713345428,591.2,0.192846211580215,0.442610966798717,502.823350913294
OK,20201020,140915,NX,YDAS011DNS0101,20814,S3,4,0,4,235,231.136149278459,0.191454994350755,0.449529229610411,596.8,0.192785611305715,0.444101110720883,519.648068335341
OK,20201020,141023,NX,YDAS011DNS0101,20815,S3,4,0,4,235,231.136149278459,0.192270122427716,0.446600677259703,609.6,0.193600739382675,0.441172558370175,530.793335216528
OK,20201020,141139,NX,YDAS011DNS0101,20816,S3,3,0,3,230,227.777153166741,0.192570845669644,0.448063095563904,600.3,0.19409644415163,0.441887585295958,513.389199406042
OK,20201020,141315,NX,YDAS011DNS0101,20817,S3,4,0,4,235,231.136149278459,0.19157183943979,0.447242716018507,596.1,0.192902456394749,0.441814597128979,519.038561552777
OK,20201020,144056,NX,YDAS011DNS0101,20818,S3,30,0.5,30,285,259.988756126792,0.191849797311713,0.446255600597397,581,0.191849797379186,0.446255600812417,581.000000095654
OK,20201020,144238,NX,YDAS011DNS0101,20819,S3,31,0.5,31,280,254.988756126792,0.191836629451048,0.447721940025269,578.8,0.191836629518521,0.447721940240288,578.800000095292
OK,20201020,144348,NX,YDAS011DNS0101,20820,S3,30,0.5,30,270,247.082913350469,0.193387235746177,0.447105718935761,570.8,0.193567386355468,0.446050443283212,557.168520039238
OK,20201020,144504,NX,YDAS011DNS0101,20821,S3,4,0,4,230,226.136149278459,0.190977707565385,0.449936056571128,598.1,0.192574604770679,0.443553310024416,508.691891375577
OK,20201020,144624,NX,YDAS011DNS0101,20822,S3,3,0,3,230,227.777153166741,0.191741436573638,0.446735735884598,600.8,0.193267035055624,0.440560225616652,513.816809933616
OK,20201020,144749,NX,YDAS011DNS0101,20823,S3,4,0,4,230,226.136149278459,0.191015729138896,0.447930551852839,597.4,0.192612626344191,0.441547805306128,508.096532198244
OK,20201020,144854,NX,YDAS011DNS0101,20824,S3,3,0,3,230,227.777153166741,0.191293396582847,0.448016456068175,592.9,0.192818995064833,0.441840945800229,507.060563597938
